f_APID,APID,RAJ2000_1,DEJ2000_1,Rap,Reff,fcl_g,PCID,AltID,mcor,f275w_ul,f275w_vega,f275w_err,f336w_ul,f336w_vega,f336w_err,f475w_ul,f475w_vega,f475w_err,f814w_ul,f814w_vega,f814w_err,f110w_ul,f110w_vega,f110w_err,f160w_ul,f160w_vega,f160w_err,Cl,Mcat,Simbad,recno,RA_UVIT (deg),RA_std (deg),DEC_UVIT (deg),DEC_std (deg),F148W_AB,F148W_err,F172M_AB,F172M_err,N219M_AB,N219M_err,N279N_AB,N279N_err,F169M_AB,F169M_err,Separation_1,Region
,2219,10.62471194,41.29049,1.51,0.48,0.76,1402,B104-NB5,-0.03,,19.39,0.02,,18.61,0.01,,18.24,0.02,,16.71,0.04,,16.21,0.08,,15.59,0.06,,2,Simbad,1451,10.62469393,7.97E-05,41.29040386,4.64E-05,22.94951863,0.10871737,22.24549941,0.157215016,21.27587796,0.141018493,21.08665624,0.192855291,25.54822389,0.588525306,0.313910126,1
,2466,10.63022694,41.32747611,2.15,0.52,0.73,1386,B107-G169,0,,18.03,0.02,,17.01,0.01,,16.44,0.05525,,14.66,0.13882075,,14.05,0.03,,13.34,0.03,,2,Simbad,1588,10.63019949,6.06E-05,41.32742255,4.68E-05,21.60149025,0.083084281,21.13712353,0.097471384,20.78757295,0.11442015,19.94135408,0.11583464,21.13687893,0.0814449,0.206594218,1
B,5117,10.64797306,41.24283,1.53,0.5,0.45,1439,B064D-NB6,-0.04,,18.27,0.01,,17.54,0.01,,17.06,0.01,,15.55,0.04,,14.98,0.05,,14.33,0.07,,2,Simbad,2692,10.64800877,1.05E-04,41.24287145,5.76E-05,22.13163721,0.090335909,21.40902105,0.109267395,20.265215,0.092320457,20.12193355,0.125364911,22.08098127,0.121949276,0.177787808,1
B,6564,10.672655,41.25663,1.6,0.42,0.33,1395,B124-NB10,-0.01,,17.54,0.044584837,,16.2,0.038844764,,15.44,0.01,,13.74,0.01,,12.95,0.01,,12.2,0.01,,2,Simbad,2737,10.67261867,4.59E-05,41.25659798,1.89E-05,21.13815522,0.078797571,20.67117831,0.080687007,20.29948648,0.093595953,19.53198151,0.097094367,20.63427923,0.066561725,0.151503143,1
,1268,10.68203889,41.21192306,1.44,0.49,0.86,1415,B126-G184,-0.04,,18.74,0.02,,18.02,0.01,,17.77,0.01,,16.24,0.03,,15.67,0.05,,14.92,0.06,,2,Simbad,856,10.68204311,3.53E-05,41.21189624,3.61E-05,21.84784752,0.086091966,20.86091014,0.087038839,21.73734402,0.172687279,20.45036578,0.14496767,21.56240859,0.097394585,0.097206626,1
B,3704,10.68539694,41.24490111,2.05,0.7,0.6,1425,B127-G185,-0.05,,17.14,0.044584837,,15.88,0.038844764,,15.16,0.05525,,13.41,0.01,,12.71,0.02,,11.98,0.02,,2,Simbad,2252,10.6853597,4.11E-05,41.24485188,1.75E-05,21.3240505,0.080327631,21.01232158,0.092574964,20.22440657,0.090831114,20.45940394,0.145551808,21.15522833,0.082064566,0.203884119,1
B,6039,10.68656306,41.245655,0.88,0.31,0.37,1426,NB89,-0.06,,19.87,0.04,,19.02,0.07,,18.62,0.11,,17.01,0.19,,16.38,0.29,,15.59,0.32,,2,Simbad,2733,10.68650762,6.55E-05,41.24558309,7.20E-05,22.73564335,0.102874815,22.28723568,0.160152086,21.94796004,0.189639934,21.28938401,0.211380887,22.56016083,0.150798649,0.299224478,1
,2862,10.69088694,41.366745,1.13,0.38,0.69,0,,-0.04,,19.79,0.01,,19.67,0.02,,19.99,0.02,,18.67,0.12,,18.01,0.26,,17.13,0.21,,0,Simbad,1825,10.69089679,5.04E-05,41.36670336,5.51E-05,21.99211723,0.088136415,21.45190833,0.11127849,21.27354927,0.140875926,20.97633926,0.183490533,21.91490862,0.113401853,0.152244518,1
,2377,10.70855111,41.32451306,1.23,0.38,0.74,0,B262,-0.03,,19.49,0.05,,18.75,0.02,,18.41,0.03,,16.91,0.06,,16.51,0.1,,15.95,0.15,,2,Simbad,1534,10.70851349,3.22E-05,41.3244749,4.46E-05,22.90426387,0.107411358,22.11578198,0.148452012,21.80021464,0.177570851,20.00176156,0.118930573,22.53477609,0.149099433,0.170912797,1
,3578,10.70951389,41.394465,1.13,0.35,0.61,0,,-0.03,,17.94,0.02,,18.04,0.01,,19.13,0.02,,18.97,0.13,>,18.46,0.1503876,>,17.22,0.15390909,,0,Simbad,2194,10.70953029,4.52E-05,41.39452751,2.26E-05,19.85471924,0.072836028,19.91578402,0.060938319,19.66540859,0.073378224,19.32532751,0.088978532,19.76290462,0.048637621,0.229353048,1
