f275w_ul,f275w_vega,f275w_err_orig,f275w_err,,f336w_ul,f336w_vega,f336w_err_orig,f336w_err,,f475w_ul,f475w_vega,f475w_err_orig,f475w_err,,f814w_ul,f814w_vega,f814w_err_orig,f814w_err,,f110w_ul,f110w_vega,f110w_err_orig,f110w_err,,f160w_ul,f160w_vega,f160w_err_orig,f160w_err,,F148W_ul,F148W_AB,F148W_err,,F172M_ul,F172M_AB,F172M_err,,N219M_ul,N219M_AB,N219M_err,,N279N_ul,N279N_AB,N279N_err,,F169M_ul,F169M_AB,F169M_err_orig,F169M_err
 ,20.12,0.09,0.09,, ,20.02,0.19,0.19,, ,19.66,0.04,0.04,, ,17.98,0.09,0.09,, ,16.86,0.1,0.1,, ,15.94,0.1,0.1,,,22.99927549,0.110198456,,,22.0495856,0.144185892,,,22.64249816,0.259175287,,,,,,,22.01468791,0.184444705,0.184444705
 ,20.35,0.07,0.07,, ,19.91,0.05,0.05,, ,19.93,0.08,0.08,, ,19.59,0.33,0.33,,>,18.17,,0.01,,>,17.25,,0.01,,,22.75023841,0.071162673,,,22.46364566,0.203618438,,,21.64789293,0.167854644,,,,,,,,,0.01
 ,17.33,0.07,0.07,, ,17.5,0.04,0.04,, ,18.14,0.05,0.05,, ,16.96,0.06,0.06,, ,16.18,0.05,0.05,, ,15.43,0.06,0.06,,,19.68272156,0.072432847,,,19.3137732,0.050291162,,,19.30543898,0.064679241,,,,,,,18.61871072,0.046356884,0.046356884
 ,17.33,0.07,0.07,, ,17.5,0.04,0.04,, ,18.14,0.05,0.05,, ,16.96,0.06,0.06,, ,16.18,0.05,0.05,, ,15.43,0.06,0.06,,,19.45464465,0.059240254,,,19.38042914,0.074287735,,,19.2343588,0.066931843,,,,,,,,,0.01
 ,20.17,0.07,0.07,, ,20.02,0.05,0.05,, ,20.12,0.03,0.03,,>,20.53,,0.01,,>,19.77,,0.01,,>,19.01,,0.01,,,22.58903366,0.066656068,,,21.99183403,0.165300316,,,21.7256418,0.173780187,,,,,,,,,0.01
 ,18.22,0.04,0.04,, ,18.01,0.02,0.02,, ,18.06,0.02,0.02,, ,17.42,0.09,0.09,, ,17.04,0.23,0.23,, ,16.5,0.29,0.29,,,20.70673679,0.035329039,,,20.71642119,0.096823541,,,20.00370095,0.083087661,,,,,,,,,0.01
 ,16.41,0.03,0.03,, ,16.54,0.01,0.01,, ,17.66,0.01,0.01,, ,17.32,0.03,0.03,, ,17.25,0.23,0.23,, ,16.73,0.03,0.03,,,20.43040961,0.074730594,,,19.88189951,0.06023274,,,20.30346878,0.093745645,,,,,,,19.1369865,0.05515801,0.05515801
 ,16.41,0.03,0.03,, ,16.54,0.01,0.01,, ,17.66,0.01,0.01,, ,17.32,0.03,0.03,, ,17.25,0.23,0.23,, ,16.73,0.03,0.03,,,20.36031036,0.074388204,,,19.75159593,0.083836209,,,19.84520706,0.080605671,,,,,,,,,0.01
 ,18.39,0.02,0.02,, ,18.14,0.01,0.01,, ,18.12,0.01,0.01,, ,17.04,0.05,0.05,, ,16.49,0.09,0.09,, ,15.94,0.18,0.18,,,20.82665075,0.076706447,,,20.5623279,0.077318561,,,21.23644038,0.138625741,,,,,,,19.89777827,0.073701942,0.073701942
 ,18.39,0.02,0.02,, ,18.14,0.01,0.01,, ,18.12,0.01,0.01,, ,17.04,0.05,0.05,, ,16.49,0.09,0.09,, ,15.94,0.18,0.18,,,20.68867286,0.082444626,,,20.39497365,0.106042871,,,21.23806646,0.136822088,,,,,,,,,0.01
