F148W_ul,F148W_AB,F148W_err,F169M_ul,F169M_AB,F169M_err,F172M_ul,F172M_AB,F172M_err,N219M_ul,N219M_AB,N219M_err,N279N_ul,N279N_AB,N279N_err,f275w_ul,f275w_vega,f275w_err,f336w_ul,f336w_vega,f336w_err,f475w_ul,f475w_vega,f475w_err,f814w_ul,f814w_vega,f814w_err,f110w_ul,f110w_vega,f110w_err,f160w_ul,f160w_vega,f160w_err
,22.99927549,0.110198456,,22.01468791,0.184444705,,22.0495856,0.144185892,,22.64249816,0.259175287,,22.08611965,0.303808989,,20.12,0.09,,20.02,0.19,,19.66,0.04,,17.98,0.09,,16.86,0.1,,15.94,0.1
,19.68272156,0.072432847,,18.61871072,0.046356884,,19.3137732,0.050291162,,19.30543898,0.064679241,,19.11222454,0.08144638,,17.33,0.07,,17.5,0.04,,18.14,0.05,,16.96,0.06,,16.18,0.05,,15.43,0.06
,20.43040961,0.074730594,,19.1369865,0.05515801,,19.88189951,0.06023274,,20.30346878,0.093745645,,19.34622699,0.089761756,,16.41,0.03,,16.54,0.01,,17.66,0.01,,17.32,0.03,,17.25,0.23,,16.73,0.03
,20.82665075,0.076706447,,19.89777827,0.073701942,,20.5623279,0.077318561,,21.23644038,0.138625741,,20.10067423,0.124199307,,18.39,0.02,,18.14,0.01,,18.12,0.01,,17.04,0.05,,16.49,0.09,,15.94,0.18
,20.1049624,0.07354395,,18.67081705,0.047124887,,19.39918712,0.051575237,,19.84541419,0.078433538,,18.92836107,0.075573766,,17.56,0.02,,17.42,0.04,,17.67,0.02,,16.93,0.08,,16.78,0.19,,16.46,0.33
,21.42413225,0.081252256,,19.77866438,0.070278868,,20.4671061,0.074527643,,21.21419071,0.137295968,,20.61209921,0.155809552,,18.97,0.02,,18.73,0.02,,18.78,0.02,,17.52,0.07,,16.87,0.08,,16.21,0.1
,21.41028948,0.081119881,,20.82138626,0.108599792,,21.54285649,0.115687108,,20.64603215,0.107841272,,19.56647555,0.098532111,,17.96,0.02,,17.23,0.01,,17.02,0.01,,15.64,0.02,,15.2,0.03,,14.63,0.05
,21.44267242,0.081431871,,20.98685894,0.116714249,,21.27138529,0.103095576,,21.29974604,0.142489084,,20.48841209,0.147443675,,18.79,0.02,,18.45,0.03,,18.64,0.05,,17.62,0.11,,17.04,0.06,,16.35,0.09
,22.085887,0.089589382,,20.52356037,0.095549611,,21.45116315,0.11124318,,21.91929834,0.187231812,,22.78470823,0.418330517,,19.24,0.32,,18.97,0.15,,19.25,0.11,,18.12,0.1,,17.72,0.21,,17.02,0.28
,20.5249091,0.075142799,,19.28398255,0.058169274,,20.18322441,0.067012286,,20.09051951,0.086162951,,20.20185904,0.129855282,,18.53,0.01,,18.74,0.01,,19.87,0.04,>,19.07,0.13,>,17.97,0.23,>,16.74,0.16
