F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,age,Z
7.6213E-20,7.28099E-20,6.88501E-20,5.7169E-20,4.48117E-20,4.62612E-20,3.68814E-20,3.70117E-20,2.22563E-20,1.69717E-20,1.23705E-20,3.98E+06,0.00005
4.24901E-20,4.0135E-20,3.78627E-20,3.0347E-20,2.28289E-20,2.37451E-20,1.81562E-20,1.32356E-20,5.97777E-21,3.49914E-21,2.10934E-21,6.31E+06,0.00005
2.49235E-20,2.35396E-20,2.21015E-20,1.7441E-20,1.31788E-20,1.37298E-20,1.05938E-20,8.00089E-21,3.60721E-21,2.14145E-21,1.30529E-21,1.00E+07,0.00005
1.48438E-20,1.40733E-20,1.3302E-20,1.06837E-20,8.42139E-21,8.69929E-21,6.94017E-21,5.89467E-21,2.88858E-21,1.85083E-21,1.24264E-21,1.59E+07,0.00005
8.61249E-21,8.26934E-21,7.9155E-21,6.62606E-21,5.51686E-21,5.65788E-21,4.73569E-21,4.78605E-21,2.65482E-21,1.90059E-21,1.42399E-21,2.51E+07,0.00005
5.27188E-21,5.11211E-21,4.9188E-21,4.26284E-21,3.68027E-21,3.75526E-21,3.26064E-21,4.0285E-21,3.1236E-21,2.85794E-21,2.64182E-21,3.98E+07,0.00005
3.13204E-21,3.08466E-21,3.00842E-21,2.72302E-21,2.44184E-21,2.47579E-21,2.24024E-21,2.97457E-21,1.76588E-21,1.3018E-21,9.48584E-22,6.31E+07,0.00005
1.84591E-21,1.83593E-21,1.82175E-21,1.72684E-21,1.61736E-21,1.62791E-21,1.57772E-21,2.4791E-21,2.11336E-21,2.06536E-21,2.00522E-21,1.00E+08,0.00005
1.06124E-21,1.07356E-21,1.07339E-21,1.06655E-21,1.05223E-21,1.05081E-21,1.06815E-21,1.93979E-21,1.64554E-21,1.59484E-21,1.54228E-21,1.59E+08,0.00005
5.89089E-22,6.09973E-22,6.19213E-22,6.38448E-22,6.74253E-22,6.67774E-22,7.22649E-22,1.51135E-21,1.32539E-21,1.2645E-21,1.19989E-21,2.51E+08,0.00005
3.11528E-22,3.28812E-22,3.40699E-22,3.76566E-22,4.23368E-22,4.16023E-22,4.83578E-22,1.20116E-21,1.10995E-21,1.09337E-21,1.0462E-21,3.98E+08,0.00005
1.53923E-22,1.70072E-22,1.81588E-22,2.15028E-22,2.61409E-22,2.54255E-22,3.24108E-22,9.10096E-22,8.22794E-22,7.74166E-22,6.95912E-22,6.31E+08,0.00005
7.20148E-23,8.4771E-23,9.56175E-23,1.25586E-22,1.66498E-22,1.60836E-22,2.22558E-22,7.04392E-22,6.5849E-22,6.18511E-22,5.5092E-22,1.00E+09,0.00005
2.60008E-23,3.17357E-23,3.99357E-23,6.23736E-23,9.61051E-23,9.20302E-23,1.49731E-22,5.1051E-22,6.15476E-22,6.10202E-22,5.7867E-22,1.59E+09,0.00005
8.47705E-24,1.17073E-23,1.7065E-23,3.28215E-23,5.86374E-23,5.61185E-23,1.0388E-22,3.58113E-22,4.99576E-22,5.25464E-22,5.08291E-22,2.51E+09,0.00005
1.61998E-24,2.57008E-24,6.11966E-24,1.70786E-23,3.54209E-23,3.30375E-23,6.73361E-23,2.30177E-22,3.57082E-22,3.78706E-22,3.73033E-22,3.98E+09,0.00005
