F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,,,ageuniq,Zuniq,ageconv,Zconv
7.81592E-20,7.46893E-20,7.05757E-20,5.90245E-20,4.63802E-20,4.78037E-20,3.89653E-20,9.1171E-20,2.85264E-20,2.25534E-20,1.68601E-20,,,3980000,0.00016,0.659988307,-2.111850363
4.00051E-20,3.75872E-20,3.55799E-20,2.87216E-20,2.16741E-20,2.25815E-20,1.7235E-20,2.72673E-20,5.74178E-21,3.41047E-21,2.06973E-21,,,6840000,0.00026,0.68350561,-1.900996997
2.13958E-20,2.01393E-20,1.91337E-20,1.54339E-20,1.1874E-20,1.2384E-20,9.64992E-21,1.64662E-20,3.68351E-21,2.27353E-21,1.47266E-21,,,11800000,0.00045,0.707188201,-1.662757832
1.13048E-20,1.0753E-20,1.03115E-20,8.59108E-21,7.0481E-21,7.29358E-21,6.08227E-21,1.23469E-20,3.15409E-21,2.22571E-21,1.63759E-21,,,20200000,0.00076,0.730535137,-1.435156753
6.15955E-21,5.94312E-21,5.70418E-21,4.93635E-21,4.23501E-21,4.32842E-21,3.77586E-21,1.00322E-20,4.3441E-21,4.1052E-21,4.18621E-21,,,34800000,0.00129,0.754157924,-1.205380635
3.39416E-21,3.32091E-21,3.22185E-21,2.91133E-21,2.59142E-21,2.62359E-21,2.38931E-21,6.93425E-21,2.00973E-21,1.53127E-21,1.15537E-21,,,59800000,0.00218,0.777670118,-0.977513852
1.80803E-21,1.79755E-21,1.76577E-21,1.68349E-21,1.5855E-21,1.59442E-21,1.56038E-21,5.45449E-21,2.03428E-21,1.91443E-21,1.79943E-21,,,103000000,0.00368,0.801283722,-0.750122527
9.22741E-22,9.35317E-22,9.31863E-22,9.42896E-22,9.42293E-22,9.39256E-22,9.86952E-22,4.05906E-21,1.668E-21,1.64381E-21,1.58107E-21,,,177000000,0.00619,0.824797327,-0.524279696
4.47589E-22,4.65739E-22,4.72745E-22,5.0709E-22,5.47259E-22,5.35774E-22,6.17607E-22,3.01075E-21,1.28447E-21,1.25628E-21,1.19617E-21,,,304000000,0.01035,0.848287358,-0.301029996
1.98619E-22,2.16377E-22,2.26894E-22,2.62352E-22,3.10177E-22,3.02903E-22,3.81493E-22,2.21583E-21,9.58501E-22,9.13839E-22,8.42878E-22,,,522000000,0.01712,0.87176705,-0.082466585
7.91356E-23,9.13093E-23,1.0333E-22,1.34179E-22,1.75623E-22,1.70672E-22,2.3946E-22,1.6071E-21,7.23258E-22,6.85564E-22,6.21857E-22,,,897000000,0.00016,0.895279244,-2.111850363
2.51101E-23,3.06617E-23,3.74021E-23,5.87795E-23,9.08778E-23,8.83188E-23,1.50225E-22,1.07906E-21,6.37279E-22,6.5034E-22,6.16952E-22,,,1540000000,0.00026,0.918752072,-1.900996997
5.81324E-24,8.47848E-24,1.33034E-23,2.73485E-23,4.95895E-23,4.81302E-23,9.49474E-23,7.18785E-22,5.04529E-22,5.36364E-22,5.27338E-22,,,2650000000,0.00045,0.942324587,-1.662757832
