F148W,F169M,F172M,N219M,N279N,uprime,gprime,rprime,iprime,zprime,IRAC1,IRAC2,ageconv,Zconv
7.81592E-20,7.46893E-20,7.05757E-20,5.90245E-20,4.63802E-20,3.99839E-20,4.30171E-20,3.46317E-20,3.02278E-20,2.71603E-20,4.40764E-21,2.87734E-21,0.659988307,-2.111850363
4.00051E-20,3.75872E-20,3.55799E-20,2.87216E-20,2.16741E-20,1.67274E-20,1.30302E-20,8.55766E-21,6.32318E-21,4.8877E-21,4.53435E-22,2.87555E-22,0.68350561,-2.111850363
2.13958E-20,2.01393E-20,1.91337E-20,1.54339E-20,1.1874E-20,9.43388E-21,7.97799E-21,5.33818E-21,3.98084E-21,3.13603E-21,3.41896E-22,2.16805E-22,0.707188201,-2.111850363
1.13048E-20,1.0753E-20,1.03115E-20,8.59108E-21,7.0481E-21,6.08991E-21,5.93218E-21,4.22445E-21,3.38542E-21,2.828E-21,4.19598E-22,2.64887E-22,0.730535137,-2.111850363
6.15955E-21,5.94312E-21,5.70418E-21,4.93635E-21,4.23501E-21,3.93829E-21,4.71744E-21,4.40907E-21,4.32854E-21,4.10796E-21,1.2176E-21,7.79808E-22,0.754157924,-2.111850363
3.39416E-21,3.32091E-21,3.22185E-21,2.91133E-21,2.59142E-21,2.54519E-21,3.32731E-21,2.55529E-21,2.15299E-21,1.86761E-21,2.96979E-22,1.91156E-22,0.777670118,-2.111850363
1.80803E-21,1.79755E-21,1.76577E-21,1.68349E-21,1.5855E-21,1.70529E-21,2.55174E-21,2.25505E-21,2.08377E-21,1.97786E-21,6.66428E-22,4.72725E-22,0.801283722,-2.111850363
9.22741E-22,9.35317E-22,9.31863E-22,9.42896E-22,9.42293E-22,1.12361E-21,1.92923E-21,1.76763E-21,1.67858E-21,1.65462E-21,7.42259E-22,5.97412E-22,0.824797327,-2.111850363
4.47589E-22,4.65739E-22,4.72745E-22,5.0709E-22,5.47259E-22,7.23229E-22,1.43349E-21,1.35176E-21,1.29887E-21,1.29251E-21,4.97875E-22,3.72652E-22,0.848287358,-2.111850363
1.98619E-22,2.16377E-22,2.26894E-22,2.62352E-22,3.10177E-22,4.63268E-22,1.03243E-21,9.93928E-22,9.79308E-22,9.46293E-22,2.96345E-22,2.04012E-22,0.87176705,-2.111850363
7.91356E-23,9.13093E-23,1.0333E-22,1.34179E-22,1.75623E-22,3.01941E-22,7.50534E-22,7.53926E-22,7.25122E-22,7.16939E-22,2.03991E-22,1.3963E-22,0.895279244,-2.111850363
2.51101E-23,3.06617E-23,3.74021E-23,5.87795E-23,9.08778E-23,1.9006E-22,5.04566E-22,5.9597E-22,6.31108E-22,6.44811E-22,1.82475E-22,1.17748E-22,0.918752072,-2.111850363
5.81324E-24,8.47848E-24,1.33034E-23,2.73485E-23,4.95895E-23,1.22649E-22,3.31782E-22,4.4245E-22,4.95285E-22,5.21094E-22,1.54718E-22,9.93706E-23,0.942324587,-2.111850363
6.96075E-25,1.12895E-24,3.58239E-24,1.25081E-23,2.6984E-23,7.21353E-23,1.92946E-22,2.76998E-22,3.18722E-22,3.38894E-22,1.02465E-22,6.59214E-23,0.965896484,-2.111850363
1.18864E-25,1.94332E-25,7.58238E-25,5.68276E-24,1.5108E-23,4.57887E-23,1.20454E-22,1.86126E-22,2.21677E-22,2.40326E-22,7.56122E-23,4.87576E-23,0.989431606,-2.111850363
3.60555E-25,5.52936E-25,9.21214E-25,3.40062E-24,9.12082E-24,2.98757E-23,8.36009E-23,1.31647E-22,1.58122E-22,1.73183E-22,5.70456E-23,3.668E-23,1.013033377,-2.111850363
7.83562E-20,7.48547E-20,7.16532E-20,5.96856E-20,4.78175E-20,4.30203E-20,4.8678E-20,4.11821E-20,3.78042E-20,3.45096E-20,6.25172E-21,4.08625E-21,0.659988307,-1.900996997
4.12335E-20,3.89215E-20,3.70388E-20,2.99455E-20,2.29069E-20,1.79132E-20,1.41879E-20,9.35308E-21,6.93914E-21,5.41356E-21,5.18395E-22,3.30156E-22,0.68350561,-1.900996997
2.1635E-20,2.02831E-20,1.9453E-20,1.59274E-20,1.23866E-20,9.93658E-21,8.40598E-21,5.69053E-21,4.32209E-21,3.43761E-21,4.07695E-22,2.57269E-22,0.707188201,-1.900996997
1.11397E-20,1.05901E-20,1.02324E-20,8.61339E-21,7.21142E-21,6.3931E-21,6.65822E-21,4.89991E-21,3.96302E-21,3.40629E-21,5.4051E-22,3.42013E-22,0.730535137,-1.900996997
6.18791E-21,5.98576E-21,5.77254E-21,5.06538E-21,4.31844E-21,4.02799E-21,5.12022E-21,4.79256E-21,4.72112E-21,4.74086E-21,1.47817E-21,8.66711E-22,0.754157924,-1.900996997
3.26995E-21,3.21324E-21,3.13721E-21,2.87288E-21,2.60918E-21,2.59677E-21,3.5417E-21,2.85243E-21,2.45128E-21,2.15199E-21,3.93572E-22,2.51638E-22,0.777670118,-1.900996997
1.71513E-21,1.7196E-21,1.69847E-21,1.62457E-21,1.5661E-21,1.69928E-21,2.68795E-21,2.36302E-21,2.17256E-21,2.0336E-21,6.50653E-22,4.85024E-22,0.801283722,-1.900996997
8.61949E-22,8.86885E-22,8.89195E-22,8.99523E-22,9.15857E-22,1.11691E-21,2.01718E-21,1.85491E-21,1.75893E-21,1.77406E-21,6.6751E-22,5.10464E-22,0.824797327,-1.900996997
4.14719E-22,4.33986E-22,4.45607E-22,4.80078E-22,5.25112E-22,7.21698E-22,1.45934E-21,1.40334E-21,1.36468E-21,1.3532E-21,4.83381E-22,3.47066E-22,0.848287358,-1.900996997
1.82404E-22,1.99878E-22,2.12441E-22,2.49377E-22,2.97104E-22,4.62765E-22,1.06432E-21,1.05303E-21,1.01848E-21,1.01848E-21,3.02438E-22,1.98864E-22,0.87176705,-1.900996997
6.92295E-23,7.879E-23,9.06304E-23,1.23627E-22,1.65993E-22,2.97921E-22,7.52448E-22,7.84458E-22,7.75491E-22,7.74533E-22,2.68215E-22,1.86877E-22,0.895279244,-1.900996997
2.21446E-23,2.77875E-23,3.36842E-23,5.31711E-23,8.30743E-23,1.83663E-22,4.86739E-22,6.0982E-22,6.63627E-22,6.92495E-22,2.12707E-22,1.36356E-22,0.918752072,-1.900996997
4.06218E-24,6.11666E-24,1.12757E-23,2.40207E-23,4.46305E-23,1.14922E-22,3.19232E-22,4.40578E-22,5.01574E-22,5.3161E-22,1.62585E-22,1.03777E-22,0.942324587,-1.900996997
