F148W,F169M,F172M,N219M,N279N,u_prime,g_prime,r_prime,i_prime,z_prime,IRAC1,IRAC2,age,Z
7.62E-20,7.28E-20,6.89E-20,5.72E-20,4.48E-20,3.75441E-20,3.71779E-20,2.86175E-20,2.4163E-20,2.12157E-20,3.21888E-21,1.49217E-21,3.98E+06,0.00005
4.25E-20,4.01E-20,3.79E-20,3.03E-20,2.28E-20,1.75236E-20,1.36302E-20,8.88812E-21,6.49785E-21,5.02221E-21,4.69804E-22,2.12975E-22,6.31E+06,0.00005
2.49E-20,2.35E-20,2.21E-20,1.74E-20,1.32E-20,1.02985E-20,8.23216E-21,5.3761E-21,3.93888E-21,3.05794E-21,2.93985E-22,1.32903E-22,1.00E+07,0.00005
1.48E-20,1.41E-20,1.33E-20,1.07E-20,8.42E-21,6.87845E-21,6.05031E-21,4.11139E-21,3.12623E-21,2.50207E-21,3.09564E-22,1.40992E-22,1.59E+07,0.00005
8.61E-21,8.27E-21,7.92E-21,6.63E-21,5.52E-21,4.83501E-21,4.82135E-21,3.519E-21,2.81386E-21,2.37246E-21,3.8051E-22,1.75373E-22,2.51E+07,0.00005
5.27E-21,5.11E-21,4.92E-21,4.26E-21,3.68E-21,3.35099E-21,4.06417E-21,3.49815E-21,3.18223E-21,3.01997E-21,8.07458E-22,3.73501E-22,3.98E+07,0.00005
3.13E-21,3.08E-21,3.01E-21,2.72E-21,2.44E-21,2.34811E-21,3.02826E-21,2.29086E-21,1.87483E-21,1.60399E-21,2.47863E-22,1.14871E-22,6.31E+07,0.00005
1.85E-21,1.84E-21,1.82E-21,1.73E-21,1.62E-21,1.67494E-21,2.50965E-21,2.23704E-21,2.13683E-21,2.09673E-21,7.25809E-22,3.64564E-22,1.00E+08,0.00005
1.06E-21,1.07E-21,1.07E-21,1.07E-21,1.05E-21,1.18617E-21,1.96568E-21,1.76437E-21,1.66763E-21,1.6306E-21,7.33047E-22,4.0378E-22,1.59E+08,0.00005
5.89E-22,6.10E-22,6.19E-22,6.38E-22,6.74E-22,8.24225E-22,1.52553E-21,1.40503E-21,1.33607E-21,1.32097E-21,6.13155E-22,3.62909E-22,2.51E+08,0.00005
3.12E-22,3.29E-22,3.41E-22,3.77E-22,4.23E-22,5.78169E-22,1.17699E-21,1.15474E-21,1.12121E-21,1.11632E-21,4.09805E-22,2.12647E-22,3.98E+08,0.00005
1.54E-22,1.70E-22,1.82E-22,2.15E-22,2.61E-22,3.97401E-22,9.00969E-22,8.63653E-22,8.49812E-22,8.17204E-22,2.40037E-22,1.1681E-22,6.31E+08,0.00005
7.20E-23,8.48E-23,9.56E-23,1.26E-22,1.66E-22,2.81882E-22,7.01164E-22,6.91807E-22,6.69344E-22,6.51145E-22,1.86969E-22,9.30987E-23,1.00E+09,0.00005
2.60E-23,3.17E-23,3.99E-23,6.24E-23,9.61E-23,1.91126E-22,5.00251E-22,5.7847E-22,6.0569E-22,6.22364E-22,1.75328E-22,8.09608E-23,1.59E+09,0.00005
8.48E-24,1.17E-23,1.71E-23,3.28E-23,5.86E-23,1.31881E-22,3.50823E-22,4.49262E-22,4.97862E-22,5.20597E-22,1.52362E-22,7.08189E-23,2.51E+09,0.00005
1.62E-24,2.57E-24,6.12E-24,1.71E-23,3.54E-23,8.57227E-23,2.24811E-22,3.0785E-22,3.47743E-22,3.69296E-22,1.1089E-22,5.16823E-23,3.98E+09,0.00005
2.90E-25,4.70E-25,1.71E-24,8.91E-24,2.18E-23,5.79563E-23,1.49835E-22,2.20448E-22,2.55915E-22,2.74914E-22,8.69789E-23,4.05864E-23,6.31E+09,0.00005
1.38E-25,2.19E-25,7.72E-25,4.94E-24,1.36E-23,3.84969E-23,1.02319E-22,1.56265E-22,1.85005E-22,2.01711E-22,6.54682E-23,3.06112E-23,1.00E+10,0.00005
1.12E-24,1.31E-24,1.55E-24,3.80E-24,9.37E-24,2.73484E-23,7.36941E-23,1.15789E-22,1.39809E-22,1.54045E-22,5.23237E-23,2.44668E-23,1.59E+10,0.00005
7.65E-20,7.30E-20,6.93E-20,5.76E-20,4.52E-20,3.8036E-20,3.75043E-20,2.89728E-20,2.4285E-20,2.12805E-20,3.22119E-21,1.49329E-21,3.98E+06,0.00009
4.28E-20,4.04E-20,3.81E-20,3.06E-20,2.30E-20,1.76713E-20,1.37404E-20,8.95592E-21,6.56218E-21,5.0584E-21,4.73501E-22,2.14088E-22,6.31E+06,0.00009
2.50E-20,2.35E-20,2.22E-20,1.76E-20,1.33E-20,1.03676E-20,8.27092E-21,5.40494E-21,3.95237E-21,3.06563E-21,2.94035E-22,1.33119E-22,1.00E+07,0.00009
1.49E-20,1.41E-20,1.33E-20,1.08E-20,8.45E-21,6.8976E-21,6.06062E-21,4.1179E-21,3.13265E-21,2.50074E-21,3.10395E-22,1.41351E-22,1.59E+07,0.00009
8.68E-21,8.30E-21,7.97E-21,6.66E-21,5.55E-21,4.85973E-21,4.84491E-21,3.54021E-21,2.81888E-21,2.37222E-21,3.80977E-22,1.7466E-22,2.51E+07,0.00009
5.36E-21,5.19E-21,4.99E-21,4.32E-21,3.71E-21,3.4146E-21,4.09238E-21,3.52253E-21,3.18928E-21,3.02456E-21,8.08044E-22,3.67826E-22,3.98E+07,0.00009
3.20E-21,3.14E-21,3.06E-21,2.75E-21,2.46E-21,2.35715E-21,3.04048E-21,2.29812E-21,1.88029E-21,1.60795E-21,2.48221E-22,1.14405E-22,6.31E+07,0.00009
1.88E-21,1.88E-21,1.85E-21,1.74E-21,1.63E-21,1.68522E-21,2.52123E-21,2.24752E-21,2.14019E-21,2.09599E-21,7.26223E-22,3.64188E-22,1.00E+08,0.00009
1.08E-21,1.09E-21,1.08E-21,1.07E-21,1.06E-21,1.18963E-21,1.97212E-21,1.77218E-21,1.67115E-21,1.63073E-21,7.33425E-22,4.03673E-22,1.59E+08,0.00009
5.97E-22,6.15E-22,6.22E-22,6.44E-22,6.76E-22,8.28667E-22,1.53116E-21,1.41117E-21,1.33957E-21,1.32114E-21,6.13278E-22,3.62662E-22,2.51E+08,0.00009
3.14E-22,3.31E-22,3.42E-22,3.77E-22,4.23E-22,5.80508E-22,1.17986E-21,1.15943E-21,1.12327E-21,1.11637E-21,4.10041E-22,2.12411E-22,3.98E+08,0.00009
1.55E-22,1.71E-22,1.82E-22,2.15E-22,2.60E-22,3.98332E-22,9.03325E-22,8.66383E-22,8.5243E-22,8.1807E-22,2.40145E-22,1.16448E-22,6.31E+08,0.00009
7.21E-23,8.49E-23,9.53E-23,1.25E-22,1.65E-22,2.81906E-22,7.02617E-22,6.94409E-22,6.70861E-22,6.51929E-22,1.87164E-22,9.29655E-23,1.00E+09,0.00009
2.59E-23,3.17E-23,3.97E-23,6.18E-23,9.45E-23,1.90594E-22,5.02199E-22,5.80582E-22,6.07201E-22,6.23466E-22,1.75381E-22,8.08527E-23,1.59E+09,0.00009
8.41E-24,1.16E-23,1.67E-23,3.24E-23,5.73E-23,1.31134E-22,3.52018E-22,4.51168E-22,4.98983E-22,5.21559E-22,1.52429E-22,7.07179E-23,2.51E+09,0.00009
1.60E-24,2.53E-24,6.01E-24,1.68E-23,3.42E-23,8.52317E-23,2.25652E-22,3.0941E-22,3.4899E-22,3.69851E-22,1.10976E-22,5.15682E-23,3.98E+09,0.00009
2.82E-25,4.58E-25,1.65E-24,8.65E-24,2.09E-23,5.75698E-23,1.5031E-22,2.21509E-22,2.56529E-22,2.7522E-22,8.70992E-23,4.05149E-23,6.31E+09,0.00009
1.33E-25,2.14E-25,7.45E-25,4.74E-24,1.30E-23,3.81273E-23,1.02694E-22,1.57167E-22,1.85644E-22,2.0181E-22,6.55868E-23,3.05088E-23,1.00E+10,0.00009
1.12E-24,1.31E-24,1.54E-24,3.72E-24,8.92E-24,2.70282E-23,7.40587E-23,1.16388E-22,1.40087E-22,1.54201E-22,5.2377E-23,2.43592E-23,1.59E+10,0.00009
7.82E-20,7.47E-20,7.06E-20,5.90E-20,4.64E-20,3.99839E-20,4.30169E-20,3.46304E-20,3.02278E-20,2.7159E-20,4.45398E-21,2.06955E-21,3.98E+06,0.00016
4.38E-20,4.15E-20,3.95E-20,3.21E-20,2.44E-20,1.89289E-20,1.47309E-20,9.73353E-21,7.15669E-21,5.56741E-21,5.31593E-22,2.43695E-22,6.31E+06,0.00016
2.56E-20,2.40E-20,2.27E-20,1.83E-20,1.39E-20,1.09332E-20,8.75806E-21,5.77168E-21,4.26207E-21,3.30045E-21,3.25324E-22,1.48245E-22,1.00E+07,0.00016
1.50E-20,1.41E-20,1.35E-20,1.12E-20,8.83E-21,7.28745E-21,6.50964E-21,4.49857E-21,3.43422E-21,2.77502E-21,3.52663E-22,1.61509E-22,1.59E+07,0.00016
8.64E-21,8.28E-21,7.99E-21,6.88E-21,5.63E-21,5.14563E-21,5.30957E-21,3.85846E-21,3.11683E-21,2.64136E-21,4.25329E-22,1.9416E-22,2.51E+07,0.00016
5.45E-21,5.27E-21,5.06E-21,4.41E-21,3.77E-21,3.48682E-21,4.38812E-21,3.86172E-21,3.54501E-21,3.37384E-21,9.28852E-22,4.26136E-22,3.98E+07,0.00016
3.17E-21,3.11E-21,3.03E-21,2.74E-21,2.46E-21,2.40588E-21,3.20397E-21,2.52989E-21,2.11277E-21,1.8404E-21,3.14079E-22,1.44763E-22,6.31E+07,0.00016
1.86E-21,1.85E-21,1.83E-21,1.73E-21,1.63E-21,1.72515E-21,2.56059E-21,2.17367E-21,1.93869E-21,1.76502E-21,3.85609E-22,1.77325E-22,1.00E+08,0.00016
1.06E-21,1.07E-21,1.07E-21,1.06E-21,1.05E-21,1.19884E-21,2.02602E-21,1.86551E-21,1.76981E-21,1.72418E-21,8.05963E-22,4.31682E-22,1.59E+08,0.00016
5.77E-22,5.98E-22,6.05E-22,6.28E-22,6.64E-22,8.42506E-22,1.56194E-21,1.48079E-21,1.41813E-21,1.38714E-21,6.71564E-22,3.94288E-22,2.51E+08,0.00016
3.00E-22,3.21E-22,3.30E-22,3.66E-22,4.13E-22,5.8039E-22,1.21337E-21,1.16983E-21,1.13752E-21,1.1303E-21,4.26258E-22,2.21618E-22,3.98E+08,0.00016
1.47E-22,1.63E-22,1.73E-22,2.07E-22,2.54E-22,3.9724E-22,9.24232E-22,9.14989E-22,8.78211E-22,8.54033E-22,2.68245E-22,1.32668E-22,6.31E+08,0.00016
6.37E-23,7.42E-23,8.67E-23,1.17E-22,1.59E-22,2.79419E-22,7.08566E-22,7.17777E-22,7.04962E-22,6.86771E-22,2.15757E-22,1.07136E-22,1.00E+09,0.00016
2.35E-23,2.91E-23,3.56E-23,5.66E-23,8.79E-23,1.85582E-22,4.92991E-22,5.88106E-22,6.25903E-22,6.39532E-22,1.883E-22,8.6127E-23,1.59E+09,0.00016
6.83E-24,9.69E-24,1.50E-23,2.92E-23,5.27E-23,1.28312E-22,3.47087E-22,4.58055E-22,5.11392E-22,5.3713E-22,1.6338E-22,7.51682E-23,2.51E+09,0.00016
1.22E-24,1.97E-24,5.25E-24,1.53E-23,3.13E-23,8.19628E-23,2.19669E-22,3.08747E-22,3.50431E-22,3.71404E-22,1.15873E-22,5.36942E-23,3.98E+09,0.00016
2.34E-25,3.79E-25,1.41E-24,7.82E-24,1.90E-23,5.52861E-23,1.46276E-22,2.20252E-22,2.56603E-22,2.76373E-22,8.93598E-23,4.12663E-23,6.31E+09,0.00016
7.51E-26,1.19E-25,4.71E-25,4.21E-24,1.15E-23,3.6376E-23,9.87815E-23,1.56002E-22,1.86361E-22,2.02918E-22,6.75355E-23,3.11927E-23,1.00E+10,0.00016
1.01E-24,1.26E-24,1.55E-24,3.61E-24,8.36E-24,2.69043E-23,7.60136E-23,1.19433E-22,1.43465E-22,1.57865E-22,5.43861E-23,2.51176E-23,1.59E+10,0.00016
7.84E-20,7.49E-20,7.19E-20,5.98E-20,4.81E-20,4.34779E-20,4.95166E-20,4.18769E-20,3.84029E-20,3.50974E-20,6.43551E-21,2.98109E-21,3.98E+06,0.00028
4.59E-20,4.35E-20,4.14E-20,3.36E-20,2.58E-20,2.02697E-20,1.59995E-20,1.05752E-20,7.84726E-21,6.09903E-21,5.98773E-22,2.7346E-22,6.31E+06,0.00028
2.63E-20,2.45E-20,2.35E-20,1.91E-20,1.46E-20,1.15936E-20,9.4905E-21,6.30613E-21,4.71442E-21,3.69005E-21,3.79816E-22,1.72909E-22,1.00E+07,0.00028
1.50E-20,1.41E-20,1.36E-20,1.14E-20,9.06E-21,7.64739E-21,7.10903E-21,4.94472E-21,3.84545E-21,3.12417E-21,4.16457E-22,1.90309E-22,1.59E+07,0.00028
8.48E-21,8.13E-21,7.88E-21,6.83E-21,5.90E-21,5.35879E-21,6.03029E-21,4.70526E-21,4.01069E-21,3.58949E-21,6.99769E-22,3.21319E-22,2.51E+07,0.00028
5.25E-21,5.11E-21,4.94E-21,4.39E-21,3.80E-21,3.67884E-21,4.69171E-21,4.25459E-21,4.01334E-21,3.84881E-21,1.1008E-21,5.01867E-22,3.98E+07,0.00028
3.02E-21,2.96E-21,2.91E-21,2.69E-21,2.45E-21,2.46365E-21,3.43745E-21,2.77776E-21,2.38671E-21,2.15833E-21,4.09902E-22,1.86151E-22,6.31E+07,0.00028
1.76E-21,1.76E-21,1.74E-21,1.68E-21,1.60E-21,1.72663E-21,2.73225E-21,2.38554E-21,2.18502E-21,2.09758E-21,6.3953E-22,3.41331E-22,1.00E+08,0.00028
9.86E-22,1.01E-21,1.01E-21,1.01E-21,1.02E-21,1.23304E-21,2.13614E-21,1.96083E-21,1.86362E-21,1.81411E-21,7.18256E-22,3.91568E-22,1.59E+08,0.00028
5.34E-22,5.59E-22,5.66E-22,6.01E-22,6.39E-22,8.42981E-22,1.63935E-21,1.55499E-21,1.50055E-21,1.47587E-21,6.01156E-22,3.30229E-22,2.51E+08,0.00028
2.77E-22,2.98E-22,3.08E-22,3.46E-22,3.95E-22,5.82771E-22,1.2459E-21,1.20771E-21,1.18926E-21,1.18047E-21,3.97211E-22,1.87784E-22,3.98E+08,0.00028
1.32E-22,1.47E-22,1.60E-22,1.95E-22,2.43E-22,3.94935E-22,9.48016E-22,9.4088E-22,9.04998E-22,9.02679E-22,2.86088E-22,1.36449E-22,6.31E+08,0.00028
5.56E-23,6.41E-23,7.40E-23,1.06E-22,1.48E-22,2.74855E-22,6.91032E-22,7.46248E-22,7.51362E-22,7.54861E-22,2.7349E-22,1.37195E-22,1.00E+09,0.00028
2.05E-23,2.59E-23,3.19E-23,5.07E-23,7.96E-23,1.77443E-22,4.70463E-22,5.89709E-22,6.3955E-22,6.67739E-22,2.06641E-22,9.50311E-23,1.59E+09,0.00028
4.77E-24,7.10E-24,1.25E-23,2.60E-23,4.68E-23,1.21089E-22,3.34648E-22,4.58272E-22,5.18216E-22,5.47289E-22,1.71892E-22,7.8302E-23,2.51E+09,0.00028
8.23E-25,1.35E-24,4.06E-24,1.36E-23,2.80E-23,7.71096E-23,2.10899E-22,3.0624E-22,3.51211E-22,3.75489E-22,1.23605E-22,5.6721E-23,3.98E+09,0.00028
1.73E-25,2.85E-25,1.09E-24,6.77E-24,1.65E-23,5.14568E-23,1.39561E-22,2.16559E-22,2.5498E-22,2.79379E-22,9.18526E-23,4.20922E-23,6.31E+09,0.00028
4.83E-26,7.60E-26,3.12E-25,3.50E-24,9.86E-24,3.41684E-23,9.46797E-23,1.53882E-22,1.85615E-22,2.04057E-22,7.01062E-23,3.22249E-23,1.00E+10,0.00028
6.50E-25,8.72E-25,1.23E-24,3.21E-24,7.48E-24,2.60349E-23,7.63982E-23,1.2125E-22,1.4626E-22,1.62276E-22,5.70708E-23,2.61425E-23,1.59E+10,0.00028
