#,Source_ID,redshift,distance,F148W_AB,F148W_err,F169M_AB,F169M_err,F172M_AB,F172M_err,N219M_AB,N219M_err,N279N_AB,N279N_err,IRAC1,IRAC1_err,IRAC2,IRAC2_err,u_prime,u_prime_err,g_prime,g_prime_err,r_prime,r_prime_err,i_prime,i_prime_err,z_prime,z_prime_err
,q1ann01,0,0.785,2.258208361,0.021093743,2.591648947,0.025842229,3.090367339,0.058308902,4.320398645,0.082299261,14.06319005,0.143517816,-999,-999,1878.91338,187.891338,142.1639548,0.073961604,878.2671151,0.104095293,1907.006973,0.180213859,2959.705041,0.263563741,4056.155242,0.722982344
,q1ann02,0,0.785,1.126906459,0.010672026,1.315277046,0.014018246,1.607838577,0.030984926,2.454001957,0.047885736,8.449894834,0.091390986,1569.707483,156.9707483,962.2052365,96.22052365,80.92563654,0.060758365,463.3940296,0.075612396,1007.866655,0.131012757,1564.162979,0.191603063,2088.271177,0.518756862
,q1ann03,0,0.785,0.843320474,0.008058764,0.985049364,0.010935194,1.241831028,0.024234037,1.827968102,0.036328531,6.313229808,0.071386439,1256.530534,125.6530534,731.891743,73.1891743,60.72016727,0.0557099,342.5026151,0.065005444,752.3397869,0.113192867,1163.191867,0.165229324,1552.558739,0.447295395
,q1ann04,0,0.785,0.757707369,0.007269645,0.897257107,0.01011132,1.1237295,0.022054547,1.687707102,0.033736806,5.582039327,0.064494732,1063.054555,106.3054555,621.7409166,62.17409166,51.87502222,0.054117456,289.1193663,0.05972503,631.8700331,0.103735147,984.9675359,0.152045092,1312.121181,0.411204047
,q1ann05,0,0.785,0.643626472,0.006217897,0.764539579,0.008860509,0.979455805,0.019390853,1.45659721,0.029463314,4.791209151,0.056998615,877.6905547,87.76905547,513.6954323,51.36954323,43.33986291,0.050653921,236.8962255,0.054062591,514.2071877,0.093579586,798.9402224,0.1369363,1061.01451,0.369769485
,q1ann06,0,0.785,0.611556267,0.005922166,0.731181104,0.008544824,0.950376025,0.018853751,1.418877877,0.02876538,4.523045253,0.054443661,816.4868436,81.64868436,477.3538345,47.73538345,40.3943122,0.051025133,218.9521503,0.051974748,475.0550224,0.089946445,737.5443696,0.13156959,977.1953804,0.354863319
,q1ann07,0,0.785,0.559781151,0.005444648,0.667661728,0.007941883,0.875606024,0.017472351,1.27680087,0.026134991,4.017901638,0.049607464,710.7346501,71.07346501,418.0341107,41.80341107,35.12773877,0.048630573,188.2640458,0.048194944,409.0677701,0.083466015,633.7258009,0.121958519,842.3612454,0.329472822
,q1ann08,0,0.785,0.50938651,0.004979742,0.616065783,0.007450021,0.804460681,0.016157271,1.202878054,0.024765288,3.714996111,0.046689578,638.6837374,63.86837374,375.3318431,37.53318431,32.20408372,0.047944505,171.4062351,0.045986578,372.129716,0.07960846,577.3978801,0.116412345,763.996713,0.313773421
,q1ann09,0,0.785,0.473698212,0.004650415,0.573010019,0.007037822,0.749241514,0.015136034,1.10975493,0.023038476,3.514167854,0.044745999,589.489341,58.9489341,347.1158987,34.71158987,29.36750512,0.046889967,155.3911286,0.043785558,338.3429633,0.075908537,524.4456273,0.110946008,694.6863695,0.299202209
,q1ann10,0,0.785,0.437232371,0.004313815,0.531754494,0.006641071,0.706501478,0.014345193,1.058232964,0.022082323,3.318729555,0.042846605,550.798606,55.0798606,325.5408648,32.55408648,27.78683569,0.046986507,146.3667719,0.042495117,317.6992251,0.073556342,491.5141639,0.107406228,648.8441956,0.2891616
,q2ann01,0,0.785,2.227782365,0.020813481,2.547924176,0.025438219,3.063779747,0.057818998,4.275251014,0.081467138,14.37868709,0.146438646,-999,-999,1436.660337,143.6660337,145.64616,0.075316753,890.3007938,0.104806004,1947.018015,0.182094585,3028.4142,0.266605487,4170.451134,0.733097816
,q2ann02,0,0.785,1.132352803,0.010722208,1.304580369,0.013918666,1.62750873,0.031347628,2.458186586,0.047962948,8.395276204,0.090881387,-999,-999,813.8284527,81.38284527,83.99577413,0.062395115,476.6837438,0.076688978,1036.398363,0.132854236,1618.340912,0.194893095,2156.558232,0.527170381
,q2ann03,0,0.785,0.876524017,0.00836478,1.018154029,0.011245284,1.283893293,0.025010103,2.001585093,0.03953515,6.672762499,0.074764644,-999,-999,624.4921479,62.44921479,64.75071525,0.057646572,359.9638654,0.066641879,784.3621931,0.115576722,1225.015088,0.169563419,1627.342488,0.45794138
,q2ann04,0,0.785,0.75837584,0.007275807,0.888150592,0.010025718,1.152667695,0.022588654,1.719606952,0.034326354,5.824436983,0.066782962,-999,-999,524.0532839,52.40532839,55.36068782,0.055983584,303.7305393,0.061215586,662.0321329,0.106182166,1037.65596,0.156058755,1380.126434,0.421725483
,q2ann05,0,0.785,0.628361698,0.006077139,0.747416694,0.008698543,0.984095109,0.019476533,1.454429474,0.029423207,4.806048244,0.057139777,-999,-999,436.0902721,43.60902721,45.69001677,0.052316118,247.6496608,0.055276005,542.5640631,0.096125267,851.0503011,0.14133153,1132.582755,0.382036959
,q2ann06,0,0.785,0.586768678,0.005693565,0.707819162,0.008323364,0.931689646,0.018508572,1.426077929,0.028898617,4.702028992,0.056149789,-999,-999,398.0556818,39.80556818,42.76563478,0.052763608,230.6861952,0.053349283,505.3179187,0.092767189,789.6202442,0.136135247,1047.863427,0.367470727
,q2ann07,0,0.785,0.516141837,0.00504207,0.631753993,0.0075998,0.852476353,0.017044889,1.489650906,0.030074798,5.354752136,0.062345477,-999,-999,344.9954611,34.49954611,47.62804849,0.053175646,202.6959782,0.050008099,440.8782349,0.08665056,687.7109643,0.127047002,960.7578434,0.351866059
,q2ann08,0,0.785,0.483270008,0.004738751,0.587898362,0.007180557,0.787168448,0.01583752,1.193102595,0.024584093,3.927000343,0.048733388,-999,-999,317.1476969,31.71476969,34.41818691,0.049702608,182.4349582,0.047442964,399.0468274,0.082437341,625.4495174,0.121159529,829.1392494,0.326876835
,q2ann09,0,0.785,0.445334078,0.004388608,0.548593039,0.006803237,0.743664927,0.015032868,1.060872044,0.022131314,3.47228851,0.044339687,-999,-999,286.4741582,28.64741582,31.1205581,0.048463669,166.3096872,0.045297742,365.4332806,0.078888935,571.0606595,0.115771742,761.6625972,0.313293743
,q2ann10,0,0.785,0.43110359,0.004257231,0.525246835,0.006578306,0.718094146,0.014559736,1.049712965,0.021924148,3.377598869,0.043419625,-999,-999,269.7866537,26.97866537,29.80143686,0.048709294,157.7244855,0.044113076,345.6274573,0.076721337,540.159034,0.11259582,715.5189052,0.303655368
